district,racetype,incumbent,incumbent_party,incumbent_retiring,hete_democrat,hete_republican,democrat_1,democrat_1_probability,democrat_2,democrat_2_probability,democrat_3,democrat_3_probability,democrat_4,democrat_4_probability,democrat_5,democrat_5_probability,democrat_6,democrat_6_probability,republican_1,republican_1_probability,republican_2,republican_2_probability,republican_3,republican_3_probability,republican_4,republican_4_probability,republican_5,republican_5_probability,republican_6,republican_6_probability,independent_1,independent_2,independent_3,independent_4
CA_010,house,Democrat Mark DeSaulnier,D,,Democrat Mark DeSaulnier,Republican Ricky Gill,A Democratic Candidate,0.2,Democrat Mark DeSaulnier,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Ricky Gill,0.2,,,,,,,,,,,,
CA_011,house,Democrat Nancy Pelosi,D,,Democrat Nancy Pelosi,Republican Lisa Remmer,A Democratic Candidate,0.2,Democrat Nancy Pelosi,0.8,,,,,,,,,A Republican Candidate,1,Republican Lisa Remmer,0,,,,,,,,,,,,
CA_012,house,Democrat Barbara Lee,D,,Democrat Barbara Lee,Republican Greg Lentz,A Democratic Candidate,0.2,Democrat Barbara Lee,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Greg Lentz,0.2,,,,,,,,,,,,
CA_013,house,Democrat Josh Harder,D,,Democrat Adam Gray,Republican John Duarte,A Democratic Candidate,0.5,Democrat Adam Gray,0.3,Democrat Phil Arballo,0.2,,,,,,,A Republican Candidate,0.4,Republican John Duarte,0.2,Republican David Giglio,0.2,Republican Elizabeth Heng,0.2,,,,,,,,
CA_014,house,Democrat Eric Swalwell,D,,Democrat Eric Swalwell,Republican Alison Hayden,A Democratic Candidate,0.2,Democrat Eric Swalwell,0.8,,,,,,,,,A Republican Candidate,1,Republican Alison Hayden,0,,,,,,,,,,,,
CA_015,house,Democrat Jackie Speier,D,1,Democrat David Canepa,Republican Gus Mattamal,A Democratic Candidate,0.2,Democrat Kevin Mullin,0.2,Democrat Josh Becker,0.2,Democrat David Canepa,0.3,Democrat Emily Beach,0.1,,,A Republican Candidate,0.8,Republican Gus Mattamal,0.2,,,,,,,,,,,,
CA_016,house,Democrat Anna Eshoo,D,,Democrat Anna Eshoo,Republican Nathan Brown,A Democratic Candidate,0.2,Democrat Anna Eshoo,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Nathan Brown,0.2,,,,,,,,,,,,
CA_017,house,Democrat Ro Khanna,D,,Democrat Ro Khanna,Republican Ritesh Tandon,A Democratic Candidate,0.2,Democrat Ro Khanna,0.8,,,,,,,,,A Republican Candidate,1,Republican Ritesh Tandon,0,,,,,,,,,,,,
CA_018,house,Democrat Zoe Lofgren,D,,Democrat Zoe Lofgren,Republican Justin Aguilera,A Democratic Candidate,0.2,Democrat Zoe Lofgren,0.8,,,,,,,,,A Republican Candidate,1,Republican Justin Aguilera,0,,,,,,,,,,,,
CA_019,house,Democrat Jimmy Panetta,D,,Democrat Jimmy Panetta,Republican Jeff Gorman,A Democratic Candidate,0.2,Democrat Jimmy Panetta,0.8,,,,,,,,,A Republican Candidate,1,Republican Jeff Gorman,0,,,,,,,,,,,,
CA_020,house,Republican Kevin McCarthy,R,,Democrat Ben Dewell,Republican Kevin McCarthy,A Democratic Candidate,0.8,Democrat Ben Dewell,0.2,,,,,,,,,A Republican Candidate,0.2,Republican Kevin McCarthy,0.8,,,,,,,,,,,,
CA_021,house,Democrat Jim Costa,D,,Democrat Jim Costa,Republican Martha Flores-Gibson,A Democratic Candidate,0.2,Democrat Jim Costa,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Martha Flores-Gibson,0.2,,,,,,,,,,,,
CA_022,house,Republican David Valadao,R,,Democrat Rudy Salas,Republican David Valadao,A Democratic Candidate,0.3,Democrat Angel Lara,0.1,Democrat Rudy Salas,0.6,,,,,,,A Republican Candidate,0.2,Republican David Valadao,0.8,,,,,,,,,,,,
CA_023,house,Republican Jay Obernolte,R,,Democrat Bruno Amato,Republican Jay Obernolte,A Democratic Candidate,0.8,Democrat Bruno Amato,0.2,,,,,,,,,A Republican Candidate,0.2,Republican Jay Obernolte,0.8,,,,,,,,,,,,
CA_024,house,Democrat Salud Carbajal,D,,Democrat Salud Carbajal,Republican Gurpinder Singh Sagoo,A Democratic Candidate,0.2,Democrat Salud Carbajal,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Gurpinder Singh Sagoo,0.2,,,,,,,,,,,,
CA_025,house,Democrat Raul Ruiz,D,,Democrat Raul Ruiz,Republican Ceci Truman,A Democratic Candidate,0.2,Democrat Raul Ruiz,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Ceci Truman,0.2,,,,,,,,,,,,
CA_026,house,Democrat Julia Brownley,D,,Democrat Julia Brownley,Republican Ronda Baldwin-Kennedy,A Democratic Candidate,0.2,Democrat Julia Brownley,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Ronda Baldwin-Kennedy,0.2,,,,,,,,,,,,
CA_027,house,Republican Mike Garcia,R,,Democrat Christy Smith,Republican Mike Garcia,A Democratic Candidate,0.5,Democrat Christy Smith,0.3,Democrat Ruth Luevanos,0.1,Democrat Quaye Quartey,0.1,,,,,A Republican Candidate,0.2,Republican Mike Garcia,0.8,,,,,,,,,,,,
CA_028,house,Democrat Judy Chu,D,,Democrat Judy Chu,Republican Daniel Bocic Martinez,A Democratic Candidate,0.2,Democrat Judy Chu,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Daniel Bocic Martinez,0.2,,,,,,,,,,,,
CA_029,house,Democrat Tony Cárdenas,D,,Democrat Tony Cárdenas,Republican Bernito Bernal,A Democratic Candidate,0.2,Democrat Tony Cárdenas,0.8,,,,,,,,,A Republican Candidate,1,Republican Bernito Bernal,0,,,,,,,,,,,,
CA_030,house,Democrat Adam Schiff,D,,Democrat Adam Schiff,Republican Patrick Gipson,A Democratic Candidate,0.2,Democrat Adam Schiff,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Patrick Gipson,0.2,,,,,,,,,,,,
CA_031,house,Democrat Grace Napolitano,D,,Democrat Grace Napolitano,Republican Carolyn Covell,A Democratic Candidate,0.2,Democrat Grace Napolitano,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Carolyn Covell,0.2,,,,,,,,,,,,
CA_032,house,Democrat Brad Sherman,D,,Democrat Brad Sherman,Republican Mark Reed,A Democratic Candidate,0.2,Democrat Brad Sherman,0.8,,,,,,,,,A Republican Candidate,1,Republican Mark Reed,0,,,,,,,,,,,,
CA_033,house,Democrat Pete Aguilar,D,,Democrat Pete Aguilar,Republican Derrick Gates,A Democratic Candidate,0.2,Democrat Pete Aguilar,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Derrick Gates,0.2,,,,,,,,,,,,
CA_034,house,Democrat Jimmy Gomez,D,,Democrat Jimmy Gomez,Republican Stephen Smith,A Democratic Candidate,0.2,Democrat Jimmy Gomez,0.5,Democrat David Kim,0.3,,,,,,,A Republican Candidate,1,Republican Stephen Smith,0,,,,,,,,,,,,
CA_035,house,Democrat Norma Torres,D,,Democrat Norma Torres,Republican Rafael Carcamo,A Democratic Candidate,0.2,Democrat Norma Torres,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Rafael Carcamo,0.2,,,,,,,,,,,,
CA_036,house,Democrat Ted Lieu,D,,Democrat Ted Lieu,Republican James Francis Gibson,A Democratic Candidate,0.2,Democrat Ted Lieu,0.8,,,,,,,,,A Republican Candidate,0.8,Republican James Francis Gibson,0.2,,,,,,,,,,,,
CA_037,house,Democrat Karen Bass,D,1,Democrat Jan Perry,Republican Baltazar Fedalizo,A Democratic Candidate,0.4,Democrat Sydney Kamlager,0.2,Democrat Jan Perry,0.3,Democrat Daniel Lee,0.1,,,,,A Republican Candidate,0.8,Republican Baltazar Fedalizo,0.2,,,,,,,,,,,,
CA_038,house,Democrat Linda Sánchez,D,,Democrat Linda Sánchez,Republican Mitch Clemmons,A Democratic Candidate,0.2,Democrat Linda Sánchez,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Mitch Clemmons,0.2,,,,,,,,,,,,
CA_039,house,Democrat Mark Takano,D,,Democrat Mark Takano,Republican Eric Ching,A Democratic Candidate,0.2,Democrat Mark Takano,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Eric Ching,0.2,,,,,,,,,,,,
CA_040,house,Republican Young Kim,R,,Democrat Asif Mahmood,Republican Young Kim,A Democratic Candidate,0.6,Democrat Asif Mahmood,0.4,,,,,,,,,A Republican Candidate,0.2,Republican Young Kim,0.7,Republican Greg Raths,0.1,,,,,,,,,,
CA_041,house,Republican Ken Calvert,R,,Democrat Will Rollins,Republican Ken Calvert,A Democratic Candidate,0.7,Democrat Will Rollins,0.3,,,,,,,,,A Republican Candidate,0.2,Republican Ken Calvert,0.8,,,,,,,,,,,,
CA_042,house,Democrat Lucille Roybal-Allard,D,1,Democrat Robert Garcia,Republican Joe Collins,A Democratic Candidate,0.6,Democrat Robert Garcia,0.2,Democrat Cristina Garcia,0.2,,,,,,,A Republican Candidate,0.8,Republican Joe Collins,0.2,,,,,,,,,,,,
CA_043,house,Democrat Maxine Waters,D,,Democrat Maxine Waters,Republican Joe Collins,A Democratic Candidate,0.2,Democrat Maxine Waters,0.8,,,,,,,,,A Republican Candidate,1,Republican Joe Collins,0,,,,,,,,,,,,
CA_044,house,Democrat Nanette Barragán,D,,Democrat Nanette Barragán,Republican Craig Huey,A Democratic Candidate,0.2,Democrat Nanette Barragán,0.8,,,,,,,,,A Republican Candidate,1,Republican Craig Huey,0,,,,,,,,,,,,
CA_045,house,Republican Michelle Steel,R,,Democrat Harley Rouda,Republican Michelle Steel,A Democratic Candidate,0.25,Democrat Harley Rouda,0.6,Democrat Jay Chen,0.15,,,,,,,A Republican Candidate,0.2,Republican Michelle Steel,0.8,,,,,,,,,,,,
CA_046,house,Democrat J. Correa,D,,Democrat J. Correa,Republican James Waters,A Democratic Candidate,0.2,Democrat J. Correa,0.8,,,,,,,,,A Republican Candidate,1,Republican James Waters,0,,,,,,,,,,,,
CA_047,house,Democrat Katie Porter,D,,Democrat Katie Porter,Republican Scott Baugh,A Democratic Candidate,0.2,Democrat Katie Porter,0.8,,,,,,,,,A Republican Candidate,0.7,Republican Scott Baugh,0.3,,,,,,,,,,,,
CA_048,house,Republican Darrell Issa,R,,Democrat Mari Barosay,Republican Darrell Issa,A Democratic Candidate,0.8,Democrat Mari Barosay,0.2,,,,,,,,,A Republican Candidate,0.2,Republican Darrell Issa,0.8,,,,,,,,,,,,
CA_049,house,Democrat Mike Levin,D,,Democrat Mike Levin,Republican Lisa Bartlett,A Democratic Candidate,0.2,Democrat Mike Levin,0.8,,,,,,,,,A Republican Candidate,0.3,Republican Brian Maryott,0.25,Republican Christopher Rodriguez,0.15,Republican Lisa Bartlett,0.3,,,,,,,,
CA_050,house,Democrat Scott Peters,D,,Democrat Scott Peters,Republican Jim DeBello,A Democratic Candidate,0.2,Democrat Scott Peters,0.8,,,,,,,,,A Republican Candidate,1,Republican Jim DeBello,0,,,,,,,,,,,,
CA_051,house,Democrat Sara Jacobs,D,,Democrat Sara Jacobs,Republican Stan Caplan,A Democratic Candidate,0.2,Democrat Sara Jacobs,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Stan Caplan,0.2,,,,,,,,,,,,
CA_052,house,Democrat Juan Vargas,D,,Democrat Juan Vargas,Republican Richard Bailey,A Democratic Candidate,0.2,Democrat Juan Vargas,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Richard Bailey,0.2,,,,,,,,,,,,
CO_001,house,Democrat Diana DeGette,D,,Democrat Diana DeGette,Republican Shane Bolling,A Democratic Candidate,0.2,Democrat Diana DeGette,0.8,,,,,,,,,A Republican Candidate,1,Republican Shane Bolling,0,,,,,,,,,,,,
CO_002,house,Democrat Joe Neguse,D,,Democrat Joe Neguse,Republican Charle Winn,A Democratic Candidate,0.2,Democrat Joe Neguse,0.8,,,,,,,,,A Republican Candidate,1,Republican Charle Winn,0,,,,,,,,,,,,
CO_003,house,Republican Lauren Boebert,R,,Democrat Donald Valdez,Republican Lauren Boebert,A Democratic Candidate,0.6,Democrat Sol Sandoval,0.1,Democrat Debbie Burnett,0.1,Democrat Donald Valdez,0.2,,,,,A Republican Candidate,0.2,Republican Lauren Boebert,0.7,Republican Don Coram,0.1,,,,,,,,,,
CO_004,house,Republican Ken Buck,R,,Democrat Isaac McCorkle,Republican Ken Buck,A Democratic Candidate,0.8,Democrat Isaac McCorkle,0.2,,,,,,,,,A Republican Candidate,0.2,Republican Ken Buck,0.8,,,,,,,,,,,,
CO_005,house,Republican Doug Lamborn,R,,Democrat Michael Colombe,Republican Doug Lamborn,A Democratic Candidate,0.8,Democrat Michael Colombe,0.2,,,,,,,,,A Republican Candidate,0.2,Republican Doug Lamborn,0.7,Republican Dave Williams,0.1,,,,,,,,,,
CO_006,house,Democrat Jason Crow,D,,Democrat Jason Crow,Republican Brian Smith,A Democratic Candidate,0.2,Democrat Jason Crow,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Brian Smith,0.2,,,,,,,,,,,,
CO_007,house,Democrat Ed Perlmutter,D,1,Democrat Brittany Pettersen,Republican Colin Larson,A Democratic Candidate,0.2,Democrat Brittany Pettersen,0.8,,,,,,,,,A Republican Candidate,0.6,Republican Colin Larson,0.2,Republican Timothy Reichert,0.2,,,,,,,,,,
CO_008,house,,,,Democrat Yadira Caraveo,Republican Kevin Priola,A Democratic Candidate,0.4,Democrat Yadira Caraveo,0.6,,,,,,,,,A Republican Candidate,0.3,Republican Kevin Priola,0.2,Republican Jan Kulmann,0.2,Republican Lori Saine,0.1,Republican Barbara Kirkmeyer,0.1,Republican Tyler Allcorn,0.1,,,,
CT_001,house,Democrat John Larson,D,,Democrat John Larson,Republican Lawrence Lazor,A Democratic Candidate,0.2,Democrat John Larson,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Lawrence Lazor,0.2,,,,,,,,,,,,
CT_002,house,Democrat Joe Courtney,D,,Democrat Joe Courtney,Republican Mike France,A Democratic Candidate,0.2,Democrat Joe Courtney,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Mike France,0.2,,,,,,,,,,,,
CT_003,house,Democrat Rosa DeLauro,D,,Democrat Rosa DeLauro,Republican Lesley Denardis,A Democratic Candidate,0.2,Democrat Rosa DeLauro,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Lesley Denardis,0.2,,,,,,,,,,,,
CT_004,house,Democrat James Himes,D,,Democrat James Himes,Republican Michael Goldstein,A Democratic Candidate,0.2,Democrat James Himes,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Michael Goldstein,0.2,,,,,,,,,,,,
CT_005,house,Democrat Jahana Hayes,D,,Democrat Jahana Hayes,Republican George Logan,A Democratic Candidate,0.2,Democrat Jahana Hayes,0.8,,,,,,,,,A Republican Candidate,0.8,Republican George Logan,0.2,,,,,,,,,,,,
DE_001,house,Democrat Lisa Blunt Rochester,D,,Democrat Lisa Blunt Rochester,Republican Lee Murphy,A Democratic Candidate,0.2,Democrat Lisa Blunt Rochester,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Lee Murphy,0.2,,,,,,,,,,,,
FL_001,house,Republican Matt Gaetz,R,,Democrat Rebekah Jones,Republican Matt Gaetz,A Democratic Candidate,0.8,Democrat Rebekah Jones,0.2,,,,,,,,,A Republican Candidate,0.2,Republican Matt Gaetz,0.6,Republican Bryan Jones,0.2,,,,,,,,,,
FL_002,house,Republican Neal Dunn,R,,Democrat Al Lawson,Republican Neal Dunn,A Democratic Candidate,0.5,Democrat Al Lawson,0.5,,,,,,,,,A Republican Candidate,0.2,Republican Neal Dunn,0.8,,,,,,,,,,,,
FL_003,house,Republican Kat Cammack,R,,Democrat Danielle Hawk,Republican Kat Cammack,A Democratic Candidate,0.8,Democrat Danielle Hawk,0.2,,,,,,,,,A Republican Candidate,0.2,Republican Kat Cammack,0.8,,,,,,,,,,,,
FL_004,house,,,,Democrat Al Lawson,Republican Erick Aguilar,A Democratic Candidate,1,Democrat Al Lawson,0,,,,,,,,,A Republican Candidate,0.8,Republican Erick Aguilar,0.2,,,,,,,,,,,,
FL_005,house,Republican John Rutherford,R,,Democrat Al Robertson,Republican John Rutherford,A Democratic Candidate,0.8,Democrat Al Robertson,0.2,,,,,,,,,A Republican Candidate,0.2,Republican John Rutherford,0.8,,,,,,,,,,,,
FL_006,house,Republican Michael Waltz,R,,Democrat Richard Thripp,Republican Michael Waltz,A Democratic Candidate,0.8,Democrat Richard Thripp,0.2,,,,,,,,,A Republican Candidate,0.2,Republican Michael Waltz,0.8,,,,,,,,,,,,
FL_007,house,Democrat Stephanie Murphy,D,1,Democrat Emily Bonilla,Republican Cory Mills,A Democratic Candidate,0.4,Democrat Emily Bonilla,0.2,Democrat Chris King,0.2,Democrat Carlos Guillermo Smith,0.2,,,,,A Republican Candidate,0.3,Republican Cory Mills,0.3,Republican Erika Benfield,0.1,Republican Anthony Sabatini,0.1,Republican Scott Sturgill,0.1,Republican Mac McGovern,0.1,,,,
FL_008,house,Republican Bill Posey,R,,Democrat Joanne Terry,Republican Bill Posey,A Democratic Candidate,0.8,Democrat Joanne Terry,0.2,,,,,,,,,A Republican Candidate,0.2,Republican Bill Posey,0.8,,,,,,,,,,,,
FL_009,house,Democrat Darren Soto,D,,Democrat Darren Soto,Republican William Olson,A Democratic Candidate,0.2,Democrat Darren Soto,0.8,,,,,,,,,A Republican Candidate,0.8,Republican William Olson,0.2,,,,,,,,,,,,
FL_010,house,Democrat Val Demings,D,1,Democrat Randolph Bracy,Republican Willie Montague,A Democratic Candidate,0.4,Democrat Randolph Bracy,0.2,Democrat Aramis Ayala,0.2,Democrat Natalie Jackson,0.1,Democrat Terence Gray,0.1,,,A Republican Candidate,0.8,Republican Willie Montague,0.2,,,,,,,,,,,,
FL_011,house,Republican Daniel Webster,R,,Democrat Dana Cottrell,Republican Daniel Webster,A Democratic Candidate,1,Democrat Dana Cottrell,0,,,,,,,,,A Republican Candidate,0.2,Republican Daniel Webster,0.75,Republican Laura Loomer,0.05,,,,,,,,,,
FL_012,house,Republican Gus Bilirakis,R,,Democrat Kimberly Walker,Republican Gus Bilirakis,A Democratic Candidate,0.8,Democrat Kimberly Walker,0.2,,,,,,,,,A Republican Candidate,0.2,Republican Gus Bilirakis,0.8,,,,,,,,,,,,
FL_013,house,Democrat Charlie Crist,D,1,Democrat Ben Diamond,Republican Anna Paulina Luna,A Democratic Candidate,0.55,Democrat Ben Diamond,0.15,Democrat Eric Lynn,0.15,Democrat Michele Rayner,0.15,,,,,A Republican Candidate,0.3,Republican Anna Paulina Luna,0.4,Republican Amanda Makki,0.1,Republican Audrey Henson,0.1,Republican Kevin Hayslett,0.1,,,,,,
FL_014,house,Democrat Kathy Castor,D,,Democrat Kathy Castor,Republican Jay Collins,A Democratic Candidate,0.2,Democrat Kathy Castor,0.8,,,,,,,,,A Republican Candidate,0.8,Republican Jay Collins,0.2,,,,,,,,,,,,
FL_015,house,,,,Democrat Al Lawson,Republican Jon Chuba,A Democratic Candidate,1,Democrat Al Lawson,0,,,,,,,,,A Republican Candidate,1,Republican Jon Chuba,0,,,,,,,,,,,,
FL_016,house,Republican Vern Buchanan,R,,Democrat Jan Schneider,Republican Vern Buchanan,A Democratic Candidate,0.8,Democrat Jan Schneider,0.2,,,,,,,,,A Republican Candidate,0.2,Republican Vern Buchanan,0.8,,,,,,,,,,,,
FL_017,house,Republican W. Steube,R,,Democrat Dan Lambert,Republican W. Steube,A Democratic Candidate,0.8,Democrat Dan Lambert,0.2,,,,,,,,,A Republican Candidate,0.2,Republican W. Steube,0.8,,,,,,,,,,,,
