state,gov_election_year,primary_election_date,election_passed,pres_dem_1,pres_dem_1_prob,pres_dem_2,pres_dem_2_prob,pres_dem_3,pres_dem_3_prob,pres_dem_4,pres_dem_4_prob,pres_dem_5,pres_dem_5_prob,pres_dem_6,pres_dem_6_prob,pres_dem_7,pres_dem_7_prob,pres_dem_8,pres_dem_8_prob,pres_dem_9,pres_dem_9_prob,pres_dem_10,pres_dem_10_prob,pres_dem_11,pres_dem_11_prob,pres_dem_12,pres_dem_12_prob,pres_dem_13,pres_dem_13_prob,pres_rep_1,pres_rep_1_prob,pres_rep_2,pres_rep_2_prob,pres_rep_3,pres_rep_3_prob,pres_rep_4,pres_rep_4_prob,pres_rep_5,pres_rep_5_prob,pres_rep_6,pres_rep_6_prob,pres_rep_7,pres_rep_7_prob,pres_rep_8,pres_rep_8_prob,pres_rep_9,pres_rep_9_prob,pres_rep_10,pres_rep_10_prob,senator_24,senator_26,governor,presidential_independent_1,presidential_independent_2,presidential_independent_3
New York,2022,June 28,0,A Democratic Candidate,0.1,Democrat Joe Biden,0.9,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,A Republican Candidate,0.05,Republican Donald Trump,0.9,inactive,0.0,inactive,0.0,Republican Nikki Haley,0.05,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,Democrat Kirsten Gillibrand,,Democrat Kathy Hochul,Independent Robert F. Kennedy Jr.,Independent Cornel West,Green Party Candidate Jill Stein
North Carolina,2024,May 17,0,A Democratic Candidate,0.1,Democrat Joe Biden,0.9,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,A Republican Candidate,0.05,Republican Donald Trump,0.9,inactive,0.0,inactive,0.0,Republican Nikki Haley,0.05,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,,Republican Thom Tillis,Democrat Roy Cooper,Independent Robert F. Kennedy Jr.,Independent Cornel West,Green Party Candidate Jill Stein
North Dakota,2024,June 14,0,A Democratic Candidate,0.1,Democrat Joe Biden,0.9,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,A Republican Candidate,0.05,Republican Donald Trump,0.9,inactive,0.0,inactive,0.0,Republican Nikki Haley,0.05,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,Republican Kevin Cramer,,Republican Doug Burgum,Independent Robert F. Kennedy Jr.,Independent Cornel West,Green Party Candidate Jill Stein
Ohio,2022,May 3,0,A Democratic Candidate,0.1,Democrat Joe Biden,0.9,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,A Republican Candidate,0.05,Republican Donald Trump,0.9,inactive,0.0,inactive,0.0,Republican Nikki Haley,0.05,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,Democrat Sherrod Brown,,Republican Mike DeWine,Independent Robert F. Kennedy Jr.,Independent Cornel West,Green Party Candidate Jill Stein
Oklahoma,2022,June 28,0,A Democratic Candidate,0.1,Democrat Joe Biden,0.9,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,A Republican Candidate,0.05,Republican Donald Trump,0.9,inactive,0.0,inactive,0.0,Republican Nikki Haley,0.05,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,,,Republican Kevin Stitt,Independent Robert F. Kennedy Jr.,Independent Cornel West,Green Party Candidate Jill Stein
Oregon,2022,May 17,0,A Democratic Candidate,0.1,Democrat Joe Biden,0.9,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,A Republican Candidate,0.05,Republican Donald Trump,0.9,inactive,0.0,inactive,0.0,Republican Nikki Haley,0.05,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,,Democrat Jeff Merkley,Democrat Kate Brown,Independent Robert F. Kennedy Jr.,Independent Cornel West,Green Party Candidate Jill Stein
Pennsylvania,2022,May 17,0,A Democratic Candidate,0.1,Democrat Joe Biden,0.9,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,A Republican Candidate,0.05,Republican Donald Trump,0.9,inactive,0.0,inactive,0.0,Republican Nikki Haley,0.05,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,Democrat Bob Casey Jr.,,Democrat Tom Wolf,Independent Robert F. Kennedy Jr.,Independent Cornel West,Green Party Candidate Jill Stein
Rhode Island,2022,September 13,0,A Democratic Candidate,0.1,Democrat Joe Biden,0.9,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,A Republican Candidate,0.05,Republican Donald Trump,0.9,inactive,0.0,inactive,0.0,Republican Nikki Haley,0.05,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,Democrat Sheldon Whitehouse,Democrat Jack Reed,Democrat Dan McKee,Independent Robert F. Kennedy Jr.,Independent Cornel West,Green Party Candidate Jill Stein
South Carolina,2022,June 14,0,A Democratic Candidate,0.1,Democrat Joe Biden,0.9,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,A Republican Candidate,0.05,Republican Donald Trump,0.9,inactive,0.0,inactive,0.0,Republican Nikki Haley,0.05,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,,Republican Lindsey Graham,Republican Henry McMaster,Independent Robert F. Kennedy Jr.,Independent Cornel West,Green Party Candidate Jill Stein
South Dakota,2022,June 7,0,A Democratic Candidate,0.1,Democrat Joe Biden,0.9,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,A Republican Candidate,0.05,Republican Donald Trump,0.9,inactive,0.0,inactive,0.0,Republican Nikki Haley,0.05,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,,Republican Mike Rounds,Republican Kristi Noem,Independent Robert F. Kennedy Jr.,Independent Cornel West,Green Party Candidate Jill Stein
Tennessee,2022,August 4,0,A Democratic Candidate,0.1,Democrat Joe Biden,0.9,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,A Republican Candidate,0.05,Republican Donald Trump,0.9,inactive,0.0,inactive,0.0,Republican Nikki Haley,0.05,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,Republican Marsha Blackburn,Republican Bill Hagerty,Republican Bill Lee,Independent Robert F. Kennedy Jr.,Independent Cornel West,Green Party Candidate Jill Stein
Texas,2022,March 1,0,A Democratic Candidate,0.1,Democrat Joe Biden,0.9,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,A Republican Candidate,0.05,Republican Donald Trump,0.9,inactive,0.0,inactive,0.0,Republican Nikki Haley,0.05,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,inactive,0.0,Republican Ted Cruz,Republican John Cornyn,Republican Greg Abbott,Independent Robert F. Kennedy Jr.,Independent Cornel West,Green Party Candidate Jill Stein
